group_farm-farm_location,group_farm-farm_size,group_farm-farm_size_unit,group_farm-measurement_unit_other,group_farm-land_ownership,group_farm-land_ownership_other,group_farm-cropping_area,group_farm-cropping_area_unit,group_farm-cropping_area_other,group_farm-land_use,group_farm-land_use_other,group_soil-soil_quality,group_soil-soil_quality_indicators,group_soil-soil_types,group_soil-num_soil_types,group_soil-soil_types_description,group_soil-soil_surface,group_soil-rock_gravel,group_soil_erosion-erosion_prevalence,group_soil_erosion-erosion_type_farm,group_soil_erosion-erosion_control_measures,group_soil_erosion-erosion_control_description,group_crop_production-crop_type,group_crop_production-crop_type_other,group_crop_production-crop_production,group_crop_production-crop_production_other,group_crop_production-crop_productivity_enhance,group_crop_production-crop_productivity_other,farm_management-crop_rotation,farm_management-fallowing,farm_management-fallow_percent,farm_management-fallow_years,farm_management-burning,farm_management-crop_residue,farm_management-crop_residue_other,farm_management-farmyard_manure_use,farm_management-manure_use_crops,farm_management-compost_use,farm_management-compost_use_crops,farm_management-mulch_use,farm_management-mulch_use_crops,farm_management-chemical_fertilizer_use,farm_management-fertilizer_use_crops,farm_management-herbicide_use,farm_management-pesticide_use,PARENT_KEY,KEY,SET-OF-farm_details
1,1.5000000000,2,"",2,"",1.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:9ccfda9e-d1df-48a5-bd0a-048532eb7e52,uuid:9ccfda9e-d1df-48a5-bd0a-048532eb7e52/farm_details[1],uuid:9ccfda9e-d1df-48a5-bd0a-048532eb7e52/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,"Groundnut , tomato",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:dfbc9ba2-48c4-41b8-adcf-95869f68beb0,uuid:dfbc9ba2-48c4-41b8-adcf-95869f68beb0/farm_details[1],uuid:dfbc9ba2-48c4-41b8-adcf-95869f68beb0/farm_details
1,3.9200000000,2,"",2,"",3.9200000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",7 6 8,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:699fcc90-02af-463c-9b62-edf1437f4f47,uuid:699fcc90-02af-463c-9b62-edf1437f4f47/farm_details[1],uuid:699fcc90-02af-463c-9b62-edf1437f4f47/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",2 6,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,4,"",1,16,0,"",0,"",0,"",0,0,uuid:7bb7dc45-2f5e-4095-9423-bec9e9996b56,uuid:7bb7dc45-2f5e-4095-9423-bec9e9996b56/farm_details[1],uuid:7bb7dc45-2f5e-4095-9423-bec9e9996b56/farm_details
2,1.0000000000,2,"",6,"",4.0000000000,2,"",1,"",Medium,Growth of the crop,0,"","",2,1,0,"","","",1,"",2 6 7 8,"",2 1,"",1,0,"","",0,4,"",1,1,0,"",0,"",1,1,0,0,uuid:414e1981-961a-439a-82a4-d3569e95de27,uuid:414e1981-961a-439a-82a4-d3569e95de27/farm_details[1],uuid:414e1981-961a-439a-82a4-d3569e95de27/farm_details
2,3.0000000000,2,"",6,"",4.0000000000,2,"",1,"",Medium,Growth of the crop,0,"","",2,1,0,"","","",1,"",2 6 7 8,"",1,"",1,0,"","",0,4,"",0,"",0,"",0,"",1,1,1,1,uuid:414e1981-961a-439a-82a4-d3569e95de27,uuid:414e1981-961a-439a-82a4-d3569e95de27/farm_details[2],uuid:414e1981-961a-439a-82a4-d3569e95de27/farm_details
1,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,2,"",1,16,0,"",0,"",1,16,0,1,uuid:07f2cfad-c8fb-4418-bf23-e4653fd1a3cb,uuid:07f2cfad-c8fb-4418-bf23-e4653fd1a3cb/farm_details[1],uuid:07f2cfad-c8fb-4418-bf23-e4653fd1a3cb/farm_details
1,7.0000000000,2,"",2,"",7.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:98e2947b-f2bb-48b3-8d57-5ef3d861ed91,uuid:98e2947b-f2bb-48b3-8d57-5ef3d861ed91/farm_details[1],uuid:98e2947b-f2bb-48b3-8d57-5ef3d861ed91/farm_details
1,4.0000000000,2,"",2,"",4.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16 7,Groundnut tomato,6 7 8,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,7 16,0,"",0,"",1,7 16,0,1,uuid:2e972a84-6921-475f-8e5d-5aa3c0b07591,uuid:2e972a84-6921-475f-8e5d-5aa3c0b07591/farm_details[1],uuid:2e972a84-6921-475f-8e5d-5aa3c0b07591/farm_details
1,4.0000000000,2,"",2,"",4.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",7 16,Groundnut tomato,6 7 8,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,7 16,0,"",0,"",1,7 16,0,1,uuid:2e972a84-6921-475f-8e5d-5aa3c0b07591,uuid:2e972a84-6921-475f-8e5d-5aa3c0b07591/farm_details[2],uuid:2e972a84-6921-475f-8e5d-5aa3c0b07591/farm_details
